Current lr 0.01
Epoch:[0][23400/28412]	Time 0.186 (1.293)	Data 0.000 (1.098)	Loss 0.008 (0.011)	Accuracy 0.998 (0.997)	Precison 0.973 (0.971)	Recall 0.980 (0.951)
Epoch:[0][23600/28412]	Time 0.167 (1.292)	Data 0.000 (1.097)	Loss 0.013 (0.011)	Accuracy 0.996 (0.997)	Precison 0.929 (0.971)	Recall 0.955 (0.951)
Epoch:[0][23800/28412]	Time 0.251 (1.292)	Data 0.000 (1.097)	Loss 0.003 (0.011)	Accuracy 1.000 (0.997)	Precison 1.000 (0.971)	Recall 0.994 (0.951)
Epoch:[0][24000/28412]	Time 0.241 (1.291)	Data 0.000 (1.096)	Loss 0.008 (0.011)	Accuracy 0.997 (0.997)	Precison 0.993 (0.971)	Recall 0.944 (0.951)
Epoch:[0][24200/28412]	Time 10.569 (1.291)	Data 10.313 (1.096)	Loss 0.005 (0.011)	Accuracy 0.998 (0.997)	Precison 0.984 (0.972)	Recall 1.000 (0.952)
Epoch:[0][24400/28412]	Time 0.197 (1.290)	Data 0.000 (1.095)	Loss 0.013 (0.011)	Accuracy 0.997 (0.997)	Precison 0.982 (0.972)	Recall 0.953 (0.952)
Epoch:[0][24600/28412]	Time 9.194 (1.290)	Data 8.942 (1.095)	Loss 0.006 (0.011)	Accuracy 0.998 (0.997)	Precison 1.000 (0.972)	Recall 0.958 (0.952)
Epoch:[0][24800/28412]	Time 0.176 (1.289)	Data 0.000 (1.094)	Loss 0.018 (0.011)	Accuracy 0.996 (0.997)	Precison 0.985 (0.972)	Recall 0.951 (0.952)
Epoch:[0][25000/28412]	Time 4.653 (1.289)	Data 4.405 (1.094)	Loss 0.005 (0.011)	Accuracy 0.998 (0.997)	Precison 0.950 (0.972)	Recall 0.974 (0.952)
Epoch:[0][25200/28412]	Time 0.178 (1.288)	Data 0.000 (1.093)	Loss 0.012 (0.011)	Accuracy 0.998 (0.997)	Precison 1.000 (0.972)	Recall 0.952 (0.952)
Epoch:[0][25400/28412]	Time 10.703 (1.288)	Data 10.430 (1.093)	Loss 0.007 (0.011)	Accuracy 0.998 (0.997)	Precison 1.000 (0.972)	Recall 0.950 (0.953)
